fname,labels
000002.jpg,Bags_Under_Eyes Big_Nose
000003.jpg,Big_Lips
000004.jpg,Attractive
000005.jpg,Arched_Eyebrows Attractive Big_Lips
000006.jpg,Arched_Eyebrows Attractive Big_Lips
000007.jpg,5_o_Clock_Shadow Attractive Bags_Under_Eyes Big_Lips Big_Nose Black_Hair
000008.jpg,5_o_Clock_Shadow Arched_Eyebrows Bags_Under_Eyes Big_Lips Black_Hair
000009.jpg,Arched_Eyebrows Attractive Bangs Big_Lips
000010.jpg,Attractive
000011.jpg,Attractive Black_Hair
000012.jpg,Attractive Bags_Under_Eyes Black_Hair
000013.jpg,
000014.jpg,Arched_Eyebrows Big_Nose Black_Hair
000015.jpg,5_o_Clock_Shadow Bags_Under_Eyes Big_Nose
000016.jpg,5_o_Clock_Shadow Bags_Under_Eyes
000017.jpg,Black_Hair
000018.jpg,Arched_Eyebrows Big_Nose
000019.jpg,Arched_Eyebrows Attractive
000020.jpg,Black_Hair
000021.jpg,Big_Nose
000022.jpg,Arched_Eyebrows Big_Lips
000023.jpg,5_o_Clock_Shadow Attractive Big_Nose
000024.jpg,Arched_Eyebrows Attractive Big_Lips
000025.jpg,5_o_Clock_Shadow Bags_Under_Eyes Big_Nose
000026.jpg,Attractive Big_Lips
000027.jpg,Arched_Eyebrows Attractive Big_Lips Black_Hair
000028.jpg,Attractive
000029.jpg,Arched_Eyebrows Attractive Bangs
000030.jpg,Bags_Under_Eyes Big_Nose
000031.jpg,Bags_Under_Eyes
000032.jpg,Bags_Under_Eyes Big_Nose
000033.jpg,Attractive Black_Hair
000034.jpg,Arched_Eyebrows Attractive
000035.jpg,Arched_Eyebrows Attractive Big_Lips Black_Hair
000036.jpg,Bags_Under_Eyes Big_Nose Black_Hair
000037.jpg,Big_Lips Big_Nose
000038.jpg,Attractive Bags_Under_Eyes Big_Nose
000039.jpg,Arched_Eyebrows Attractive Big_Lips
000040.jpg,Attractive Black_Hair
000041.jpg,5_o_Clock_Shadow Attractive Black_Hair
000042.jpg,Arched_Eyebrows Attractive
000043.jpg,Arched_Eyebrows Attractive
000044.jpg,Bags_Under_Eyes Big_Lips Big_Nose Black_Hair
000045.jpg,Arched_Eyebrows Attractive Big_Lips
000046.jpg,Attractive Bangs Big_Lips Black_Hair
000047.jpg,Arched_Eyebrows Big_Lips Black_Hair
000048.jpg,Bangs
000049.jpg,Black_Hair
000050.jpg,Attractive Black_Hair
